id,nombre,x,y,tipo
1,Centro_0_Nodo_0,38.9187,-46.126,cluster
2,Centro_0_Nodo_1,30.4366,-47.762,cluster
3,Centro_0_Nodo_2,39.6263,-46.4734,cluster
4,Centro_0_Nodo_3,36.8191,-53.2663,cluster
5,Centro_0_Nodo_4,41.739,-46.1757,cluster
6,Centro_0_Nodo_5,43.5248,-42.6211,cluster
7,Centro_0_Nodo_6,38.5037,-48.6936,cluster
8,Centro_0_Nodo_7,45.0524,-49.7513,cluster
9,Centro_0_Nodo_8,43.6156,-44.8711,cluster
10,Centro_0_Nodo_9,38.2322,-45.2828,cluster
11,Centro_0_Nodo_10,42.0843,-34.2149,cluster
12,Centro_0_Nodo_11,43.1871,-48.8469,cluster
13,Centro_0_Nodo_12,40.6034,-48.2672,cluster
14,Centro_0_Nodo_13,40.3737,-53.1391,cluster
15,Centro_0_Nodo_14,35.1018,-51.2405,cluster
16,Centro_0_Nodo_15,40.3308,-56.0806,cluster
17,Centro_0_Nodo_16,35.3622,-46.7375,cluster
18,Centro_0_Nodo_17,51.0752,-54.0137,cluster
19,Centro_0_Nodo_18,46.4189,-40.4139,cluster
20,Centro_0_Nodo_19,43.3996,-55.5064,cluster
21,Centro_0_Nodo_20,42.3126,-56.279,cluster
22,Centro_0_Nodo_21,45.0837,-47.215,cluster
23,Centro_0_Nodo_22,29.8967,-53.8464,cluster
24,Centro_0_Nodo_23,45.8833,-43.7437,cluster
25,Centro_0_Nodo_24,40.2123,-54.847,cluster
26,Centro_0_Nodo_25,40.1175,-43.589,cluster
27,Centro_0_Nodo_26,38.0624,-43.1207,cluster
28,Centro_0_Nodo_27,34.9184,-42.2612,cluster
29,Centro_0_Nodo_28,36.8548,-54.5742,cluster
30,Centro_0_Nodo_29,41.3044,-55.681,cluster
31,Centro_0_Nodo_30,27.4954,-45.4091,cluster
32,Centro_0_Nodo_31,40.6555,-44.9457,cluster
33,Centro_0_Nodo_32,43.6975,-47.7109,cluster
34,Centro_0_Nodo_33,38.4272,-52.4808,cluster
35,Centro_0_Nodo_34,35.0343,-38.5252,cluster
36,Centro_0_Nodo_35,31.0822,-53.442,cluster
37,Centro_0_Nodo_36,49.5992,-46.5535,cluster
