id,nombre,x,y,tipo
1,Malla_0_1,-15.000000,-11.840658,malla
2,Malla_0_2,-14.651929,-8.679312,malla
3,Malla_0_3,-13.034457,-11.867986,malla
4,Malla_0_4,5.775324,3.621917,malla
5,Malla_0_5,-10.961899,-12.000000,malla
6,Malla_0_6,-10.357173,-12.000000,malla
7,Malla_0_7,-8.961786,-11.961079,malla
8,Malla_0_8,-8.478914,-11.932881,malla
9,Malla_0_9,-7.325752,-11.899929,malla
10,Malla_0_10,-6.265124,-11.998992,malla
11,Malla_0_11,-5.244708,-11.805602,malla
12,Malla_0_12,-4.370378,-11.858140,malla
13,Malla_0_13,-3.175365,-11.845537,malla
14,Malla_0_14,-2.480151,-11.922626,malla
15,Malla_0_15,-1.606382,-12.000000,malla
16,Malla_0_16,-0.542089,-11.833471,malla
17,Malla_0_17,-12.720627,-11.016898,malla
18,Malla_0_18,1.325170,-12.000000,malla
19,Malla_0_19,2.569634,-11.798686,malla
20,Malla_0_20,3.435696,-11.883058,malla
21,Malla_0_21,4.514949,-11.914310,malla
22,Malla_0_22,5.151182,-11.866068,malla
23,Malla_0_23,1.906301,4.859998,malla
24,Malla_0_24,7.184415,-11.986306,malla
25,Malla_0_25,8.336336,-11.842715,malla
26,Malla_0_26,9.031284,-11.908801,malla
27,Malla_0_27,9.976465,-11.943241,malla
28,Malla_0_28,11.389010,-11.776229,malla
29,Malla_0_29,12.050300,-11.795565,malla
30,Malla_0_30,13.084719,-11.800625,malla
31,Malla_0_31,2.399767,2.039914,malla
32,Malla_0_32,-11.211399,3.070509,malla
33,Malla_0_33,-8.332755,9.893690,malla
34,Malla_0_34,-13.230286,-11.293679,malla
35,Malla_0_35,-12.263293,-11.321583,malla
36,Malla_0_36,-11.298701,-11.051363,malla
37,Malla_0_37,-9.871690,-11.068761,malla
38,Malla_0_38,-8.974083,-11.378394,malla
39,Malla_0_39,-7.957979,-11.060606,malla
40,Malla_0_40,-7.437903,-11.138997,malla
41,Malla_0_41,-8.068608,-0.383666,malla
42,Malla_0_42,3.604907,-2.464168,malla
43,Malla_0_43,-4.336845,-11.198730,malla
44,Malla_0_44,-3.212080,-11.287813,malla
45,Malla_0_45,-2.691048,-11.029801,malla
46,Malla_0_46,-1.475311,-11.080228,malla
47,Malla_0_47,-0.214707,-11.273528,malla
48,Malla_0_48,0.630994,-11.452208,malla
49,Malla_0_49,11.418601,-6.155545,malla
50,Malla_0_50,2.236914,-11.207341,malla
51,Malla_0_51,3.392444,-11.426086,malla
52,Malla_0_52,4.249430,-11.098160,malla
53,Malla_0_53,5.386379,-11.150431,malla
54,Malla_0_54,6.009151,-11.208605,malla
55,Malla_0_55,9.386449,-4.188260,malla
56,Malla_0_56,8.006696,-11.445656,malla
57,Malla_0_57,-14.936872,11.906906,malla
58,Malla_0_58,4.952189,-0.797361,malla
59,Malla_0_59,10.972527,-11.314419,malla
60,Malla_0_60,12.263487,-11.005778,malla
61,Malla_0_61,13.064957,-11.206223,malla
62,Malla_0_62,14.056840,-11.035400,malla
63,Malla_0_63,-5.434020,-11.405938,malla
64,Malla_0_64,-14.151726,-10.599081,malla
65,Malla_0_65,-0.144481,8.825645,malla
66,Malla_0_66,7.794316,5.654967,malla
67,Malla_0_67,8.702818,-11.107522,malla
68,Malla_0_68,-10.148463,-10.474610,malla
69,Malla_0_69,-9.298674,-10.537249,malla
70,Malla_0_70,-8.440921,-10.603441,malla
71,Malla_0_71,-7.128285,-10.235331,malla
72,Malla_0_72,-6.375650,-10.342824,malla
73,Malla_0_73,-5.563212,-10.508397,malla
74,Malla_0_74,-4.268613,-10.319161,malla
75,Malla_0_75,-3.307661,2.802364,malla
76,Malla_0_76,-2.511406,-10.390530,malla
77,Malla_0_77,-1.651515,-10.257847,malla
78,Malla_0_78,-0.541404,-10.452144,malla
79,Malla_0_79,0.413771,-10.245457,malla
80,Malla_0_80,1.682060,-10.223907,malla
81,Malla_0_81,2.336333,-10.318519,malla
82,Malla_0_82,13.941981,-8.119350,malla
83,Malla_0_83,4.242715,-10.272947,malla
84,Malla_0_84,5.484968,-10.638264,malla
85,Malla_0_85,6.271616,-10.286793,malla
86,Malla_0_86,7.547281,-10.452628,malla
87,Malla_0_87,-6.345067,-4.238973,malla
88,Malla_0_88,9.356838,-10.461343,malla
89,Malla_0_89,10.216075,-10.253692,malla
90,Malla_0_90,-1.581157,-2.523800,malla
91,Malla_0_91,12.219448,-10.448497,malla
92,Malla_0_92,13.114464,-10.515348,malla
93,Malla_0_93,14.033733,-10.238175,malla
94,Malla_0_94,6.947677,-8.947455,malla
95,Malla_0_95,5.121188,2.391406,malla
96,Malla_0_96,-13.076230,-9.879584,malla
97,Malla_0_97,-12.172552,-9.520557,malla
98,Malla_0_98,-11.248685,-9.453730,malla
99,Malla_0_99,-9.892423,-9.619929,malla
100,Malla_0_100,-8.974045,-9.484299,malla
101,Malla_1_1,10.914141,-3.445791,malla
102,Malla_1_2,-7.339205,-9.486012,malla
103,Malla_1_3,-6.146950,-9.635292,malla
104,Malla_1_4,-5.275129,-9.845718,malla
105,Malla_1_5,-11.196418,1.619253,malla
106,Malla_1_6,-3.395358,-9.513468,malla
107,Malla_1_7,6.730235,7.330700,malla
108,Malla_1_8,-1.286838,-9.558563,malla
109,Malla_1_9,-0.626268,-9.729058,malla
110,Malla_1_10,-7.511309,0.066564,malla
111,Malla_1_11,1.655984,-9.518726,malla
112,Malla_1_12,2.523038,-9.634080,malla
113,Malla_1_13,3.345248,-9.517400,malla
114,Malla_1_14,4.501196,-9.568892,malla
115,Malla_1_15,5.384020,-9.603267,malla
116,Malla_1_16,12.741361,0.695815,malla
117,Malla_1_17,7.029264,-9.749266,malla
118,Malla_1_18,8.395768,-9.825137,malla
119,Malla_1_19,9.103625,-9.584398,malla
120,Malla_1_20,10.334164,-9.548588,malla
121,Malla_1_21,11.289582,-9.477670,malla
122,Malla_1_22,11.823255,-9.641455,malla
123,Malla_1_23,-11.406107,5.500133,malla
124,Malla_1_24,14.217449,-9.473330,malla
125,Malla_1_25,11.361381,7.257667,malla
126,Malla_1_26,-14.151655,-9.026693,malla
127,Malla_1_27,1.917543,-9.321046,malla
128,Malla_1_28,-11.939430,-9.010763,malla
129,Malla_1_29,-11.415299,-8.973847,malla
130,Malla_1_30,3.161270,5.704124,malla
131,Malla_1_31,1.797637,-6.285879,malla
132,Malla_1_32,-8.092610,-8.835627,malla
133,Malla_1_33,-6.972296,-9.131293,malla
134,Malla_1_34,0.261147,10.190205,malla
135,Malla_1_35,-5.240790,-8.843855,malla
136,Malla_1_36,-4.337774,-9.012161,malla
137,Malla_1_37,10.355292,-3.188377,malla
138,Malla_1_38,-2.615462,-8.779173,malla
139,Malla_1_39,-1.714752,-8.983085,malla
140,Malla_1_40,-0.720518,-8.946692,malla
141,Malla_1_41,2.185372,-0.390665,malla
142,Malla_1_42,5.984674,5.604459,malla
143,Malla_1_43,2.221136,-8.902974,malla
144,Malla_1_44,2.599669,7.962487,malla
145,Malla_1_45,4.482855,-8.811840,malla
146,Malla_1_46,6.725551,-4.606437,malla
147,Malla_1_47,-13.635783,-3.104086,malla
148,Malla_1_48,7.412722,-8.776544,malla
149,Malla_1_49,8.078073,-8.677391,malla
150,Malla_1_50,9.101777,-8.829526,malla
151,Malla_1_51,10.113417,-8.737629,malla
152,Malla_1_52,10.964515,-8.931177,malla
153,Malla_1_53,12.002887,-8.776199,malla
154,Malla_1_54,12.957150,-8.893221,malla
155,Malla_1_55,13.878781,-8.965593,malla
156,Malla_1_56,-14.757564,-8.185203,malla
157,Malla_1_57,13.334922,10.650869,malla
158,Malla_1_58,-12.945642,-8.298516,malla
159,Malla_1_59,-12.027644,-8.131482,malla
160,Malla_1_60,-11.376905,-8.198095,malla
161,Malla_1_61,6.131903,-0.620227,malla
162,Malla_1_62,-9.377352,-8.123059,malla
163,Malla_1_63,-8.108193,-8.289441,malla
164,Malla_1_64,-6.970790,-8.148354,malla
165,Malla_1_65,-6.434995,-8.341225,malla
166,Malla_1_66,5.929638,11.845136,malla
167,Malla_1_67,-4.333515,-8.062319,malla
168,Malla_1_68,-3.610058,-8.315740,malla
169,Malla_1_69,13.598610,-10.054163,malla
170,Malla_1_70,-1.585092,-8.239606,malla
171,Malla_1_71,-0.679648,-7.995230,malla
172,Malla_1_72,0.332908,-8.090706,malla
173,Malla_1_73,1.473645,-8.062200,malla
174,Malla_1_74,2.282298,-8.162269,malla
175,Malla_1_75,13.299795,7.397496,malla
176,Malla_1_76,4.561261,-7.945798,malla
